Subclass/Order,Family,Species,Species2,No. +,No. -,No. 0,other,Total no. responses,"Feeding strategy",Reproductive rate,Ovigeny,Egg number,Sensory mode,Mobility,Dispersal,Number
Hemiptera,Pentatomidae,Piezodorus hybneri Gmelin,Piezodorus hybneri Gmelin,1,1,0,0,2,polyphagus,,,,,,,208
Hemiptera,Alydidae,Riptortus dentipes (F.),Riptortus dentipes (F.),0,2,0,0,2,polyphagus,,,,,,,209
Hemiptera,Miridae,Adelphocoris dentipes Jakovlev,Adelphocoris dentipes Jakovlev,1,1,1,0,3,polyphagus,,,,,,,210
Hemiptera,Miridae,Lygus vosseleri Popp.,Lygus vosseleri Popp.,0,9,3,0,12,polyphagus,,,,,,,211
Hemiptera,Miridae,Lygus simonyi Reut.,Lygus simonyi Reut.,0,1,0,0,1,polyphagus,,,,,,,212
Homoptera,Cicadellidae,Graminella nigrifrons Forbes,Graminella nigrifrons Forbes,2,0,0,0,2,polyphagus,,,,,,,213
Homoptera,Cicadellidae,Paraphelepsius irroratus (Say),Paraphelepsius irroratus (Say),3,0,0,0,3,polyphagus,,,,,,,214
Homoptera,Cicadellidae,Recilia tobai Matsumura,Recilia tobai Matsumura,0,2,0,0,2,polyphagus,,,,,,,215
Homoptera,Delphacidae,Laodelphax striatellus (Fallen),Laodelphax striatellus (Fallen),1,2,0,0,3,polyphagus,,,,,,,216
Coleoptera,Chrysomelidae,Diabrotica viridula (F.),Diabrotica viridula (F.),2,1,1,0,4,polyphagus,,,,,,,217
Coleoptera,Chrysomelidae,Diabrotica adelpha Harold,Diabrotica adelpha Harold,1,8,0,0,9,polyphagus,,,,,,,218
Coleoptera,Cerambycidae,Xyleborius sp.,Xyleborius sp.,1,0,0,0,1,polyphagus,,,,,,,219
Lepidoptera,Pieridae,Pieris spp.,Pieris spp.,0,1,0,0,1,polyphagus,,,,,,,220
Lepidoptera,Noctuidae,Heliothis peltigera Schiff,Heliothis peltigera Schiff,1,0,0,0,1,polyphagus,,,,,,,221
Lepidoptera,Noctuidae,Spodoptera frugiperda (J.E.Smith),Spodoptera frugiperda (J.E.Smith),1,10,0,0,11,polyphagus,,,,,,,222
Lepidoptera,Noctuidae,Hydraecia mimacea (Esp.)? Prob H.immanis,Hydraecia mimacea (Esp.)? Prob H.immanis,1,0,0,0,1,polyphagus,,,,,,,223
Lepidoptera,Noctuidae,Spodoptera sunia Guenee,Spodoptera sunia Guenee,0,1,0,0,1,polyphagus,,,,,,,224
Lepidoptera,Noctuidae,Spodoptera ornithogalli (Guenee),Spodoptera ornithogalli (Guenee),0,1,0,0,1,polyphagus,,,,,,,225
Lepidoptera,Noctuidae,Agrotis ipsillon (Hfn.),Agrotis ipsillon (Hfn.),1,1,0,0,2,polyphagus,,,,,,,226
Lepidoptera,Noctuidae,Euxoa ochrogaster (Guenee),Euxoa ochrogaster (Guenee),1,0,0,0,1,polyphagus,,,,,,,227
Lepidoptera,Noctuidae,Pseudaletia unipuncta (Haw.),Pseudaletia unipuncta (Haw.),1,0,0,0,1,polyphagus,,,,,,,228
Lepidoptera,Noctuidae,Prococera atramentalis Led.,Prococera atramentalis Led.,0,0,2,0,2,polyphagus,,,,,,,229
Lepidoptera,Pyralidae,Laxostege stictcalis (L.),Laxostege stictcalis (L.),1,0,0,0,1,polyphagus,,,,,,,230
Lepidoptera,Tortricidae,Rhyacionia buoliana (Schiffermuller),Rhyacionia buoliana (Schiffermuller),1,1,0,0,2,polyphagus,,,,,,,231
Lepidoptera,Tortricidae,Argyrotaenia sphaleropa (Meyr.),Argyrotaenia sphaleropa (Meyr.),0,2,0,0,2,polyphagus,,,,,,,232
Lepidoptera,Tortricidae,Platynota sp.,Platynota sp.,0,2,0,0,2,polyphagus,,,,,,,233
Lepidoptera,Tortricidae,Chloristoneura fumiferana (Clemens),Chloristoneura fumiferana (Clemens),0,2,0,0,2,polyphagus,,,,,,,234
Lepidoptera,Geometridae,Alsophila pometaria (Harris),Alsophila pometaria (Harris),2,0,0,0,2,polyphagus,,,,,,,235
Lepidoptera,Hyblaeidae,Hyblaea puera Cramer,Hyblaea puera Cramer,1,0,0,0,1,polyphagus,,,,,,,236
Lepidoptera,Hepialidae,Endoclita gmelina Tindale,Endoclita gmelina Tindale,1,0,0,0,1,polyphagus,,,,,,,237
Hymenoptera,Tenthredinidae,Trachelus tabidus (F.),Trachelus tabidus (F.),1,0,0,0,1,polyphagus,,,,,,,238
Hymenoptera,Tenthredinidae,Cephus pygmaeus (L.),Cephus pygmaeus (L.),1,0,0,0,1,polyphagus,,,,,,,239
Phalangida,Phalangiidae,Phalangium opilio L.,Phalangium opilio L.,1,0,0,0,1,predator,,,,,,,240
Acarina,Typhlodromidae,Typhlodromus floridamus Muma,Typhlodromus floridamus Muma,1,0,0,0,1,predator,,,,,,,241
Acarina,Phytoseiidae,Metaseiulus occidentalis (Nesbitt),Metaseiulus occidentalis (Nesbitt),1,0,0,0,1,predator,,,,,,,242
Araneida,Thomisidae,Thomisid spp.,Thomisidae sp1.,2,0,0,0,2,predator,,,,,,,243
Araneida,Thomisidae,unspecified,Thomisidae sp2.,4,1,7,0,12,predator,,,,,,,244
Araneida,Lycosidae,Lycosa spp.,Lycosa sp.,4,8,11,0,23,predator,,,,,,,245
Araneida,Theridiidae,Theridiid spp. ,Theridiidae sp. ,2,0,0,0,2,predator,,,,,,,246
Dermaptera,Forficulidae,Doru sp.,Doru sp.,2,0,0,0,2,predator,,,,,,,247
Hemiptera,Anthocoridae,Paratriphleps laeviusculus Champion,Paratriphleps laeviusculus Champion,1,0,0,0,1,predator,,,,,,,248
Hemiptera,Anthocoridae,Anthocoris nemorum (L.),Anthocoris nemorum (L.),3,0,0,0,3,predator,,,,,,,249
Hemiptera,Anthocoridae,Orius tristicolor (White),Orius tristicolor (White),1,0,0,0,1,predator,,,,,,,250
Hemiptera,Anthocoridae,Orius albidipennis (Reuter),Orius albidipennis (Reuter),0,1,0,0,1,predator,,,,,,,251
Hemiptera,Anthocoridae,Orius sp.,Orius sp.,1,0,0,0,1,predator,,,,,,,252
Hemiptera,Geocoridae,Geocoris spp.,Geocoris sp.,1,0,0,0,1,predator,,,,,,,253
Hemiptera,Nabidae,Nabis punctipennis Black,Nabis punctipennis Black,1,0,0,0,1,predator,,,,,,,254
Hemiptera,Nabidae,Nabis stenoferus Hsiao,Nabis stenoferus Hsiao,2,0,1,0,3,predator,,,,,,,255
Hemiptera,Reduviidae,Reduviid spp.,Reduviidae sp.,1,0,0,0,1,predator,,,,,,,256
Hemiptera,Saldidae,Chartoscirta elegantula (Fallen),Chartoscirta elegantula (Fallen),1,0,0,0,1,predator,,,,,,,257
Hemiptera,Miridae,Rhinacloa aricana Carvalho ,Rhinacloa aricana Carvalho ,1,0,0,0,1,predator,,,,,,,258
Hemiptera,Miridae,Rhinacloa forticornis Reuter,Rhinacloa forticornis Reuter,0,0,1,0,1,predator,,,,,,,259
Hemiptera,Miridae,Orthotylellus carmelitanus Carvalho,Orthotylellus carmelitanus Carvalho,0,0,0,0,0,predator,,,,,,,260
Neuroptera,Chrysopidae,Chrysopa oculata (Say),Chrysopa oculata (Say),1,0,0,0,1,predator,,,,,,,261
Neuroptera,Chrysopidae,Chrysopa septempunctata (Wesmael),Chrysopa septempunctata (Wesmael),0,2,1,0,3,predator,,,,,,,262
Neuroptera,Chrysopidae,Chrysopa spp.,Chrysopa sp.,1,0,0,0,1,predator,,,,,,,263
Neuroptera,Chrysopidae,Chrysopa californica Coq.,Chrysopa californica Coq.,0,0,1,0,1,predator,,,,,,,264
Neuroptera,Hemerobiidae,Hemerobius sp.,Hemerobius sp.,0,0,1,0,1,predator,,,,,,,265
Coleoptera,Carabidae,Nebria brevicollis (F.),Nebria brevicollis (F.),3,0,2,0,5,predator,,,,,,,266
Coleoptera,Carabidae,Clivina fossor (L.),Clivina fossor (L.),3,0,0,0,3,predator,,,,,,,267
Coleoptera,Carabidae,Bembidion lampros (Hbst.),Bembidion lampros (Hbst.),2,1,0,1,4,predator,,,,,,,268
Coleoptera,Carabidae,Bembidion quadrimaculatum (Say),Bembidion quadrimaculatum (Say),2,0,0,1,3,predator,,,,,,,269
Coleoptera,Carabidae,Bembidion spp.,Bembidion spp.,0,4,0,0,4,predator,,,,,,,270
Coleoptera,Carabidae,Amara plebeia (Gyll),Amara plebeia (Gyll),1,1,1,0,3,predator,,,,,,,271
Coleoptera,Carabidae,Amara spp.,Amara spp.,3,0,0,0,3,predator,,,,,,,272
Coleoptera,Carabidae,Pterostichus madidus (F.),Pterostichus madidus (F.),2,0,0,1,3,predator,,,,,,,273
Coleoptera,Carabidae,Pterostichus melanarius (Illiger),Pterostichus melanarius (Illiger),2,0,0,0,2,predator,,,,,,,274
Coleoptera,Carabidae,Pterostichus versicolor (Sturm),Pterostichus versicolor (Sturm),0,0,1,0,1,predator,,,,,,,275
Coleoptera,Carabidae,Pterostichus (Feronia) spp.,Pterostichus spp.,4,0,0,0,4,predator,,,,,,,276
Coleoptera,Carabidae,Agonum dorsale Pontoppidan,Agonum dorsale Pontoppidan,2,0,0,1,3,predator,,,,,,,277
Coleoptera,Carabidae,Trechus quadristriatus (Sk.),Trechus quadristriatus (Sk.),1,0,2,1,4,predator,,,,,,,278
Coleoptera,Carabidae,Trechus spp.,Trechus spp.,0,3,0,1,4,predator,,,,,,,279
Coleoptera,Carabidae,Harpalus rufipes (DeGeer),Harpalus rufipes (DeGeer),4,1,0,0,5,predator,,,,,,,280
Coleoptera,Carabidae,Harpalus spp.,Harpalus spp.,2,0,0,0,2,predator,,,,,,,281
Coleoptera,Carabidae,Harpaline spp.,Harpalinae spp.,2,1,0,0,3,predator,,,,,,,282
Coleoptera,Carabidae,Dyschirius globosus Herbst,Dyschirius globosus Herbst,0,1,0,0,1,predator,,,,,,,283
Coleoptera,Carabidae,Calathus fuscipes (Goez),Calathus fuscipes (Goez),1,1,0,0,2,predator,,,,,,,284
Coleoptera,Carabidae,Carabus granulatus L.,Carabus granulatus L.,1,0,0,0,1,predator,,,,,,,285
Coleoptera,Carabidae,Tachyporus hypnorum (F.),Tachyporus hypnorum (F.),0,0,0,1,1,predator,,,,,,,286
Coleoptera,Carabidae,Tachyporus spp.,Tachyporus spp.,0,0,2,0,2,predator,,,,,,,287
Coleoptera,Carabidae,Oxytelus spp.,Oxytelus spp.,0,0,2,0,2,predator,,,,,,,288
Coleoptera,Carabidae,Lebia spp.,Lebia spp.,0,0,0,1,,predator,,,,,,,289
Coleoptera,Staphylinidae,Aleochara bipustulata L.,Aleochara bipustulata L.,0,0,2,2,4,predator,,,,,,,290
Coleoptera,Staphylinidae,Aleochara bilineata L.,Aleochara bilineata L.,0,0,2,0,2,predator,,,,,,,291
Coleoptera,Staphylinidae,Aleochara spp.,Aleochara spp.,0,0,1,0,1,predator,,,,,,,292
Coleoptera,Staphylinidae,staphylinids,Staphylinidae sp.,4,0,0,0,4,predator,,,,,,,293
Coleoptera,Coccinellidae,Chilomenes lunata (F.),Chilomenes lunata (F.),1,16,3,0,20,predator,,,,,,,294
Coleoptera,Coccinellidae,Platynaspis ferruginea Ws.,Platynaspis ferruginea Ws.,3,4,13,0,20,predator,,,,,,,295
Coleoptera,Coccinellidae,Coleomegilla maculata (DeGeer),Coleomegilla maculata (DeGeer),0,2,0,0,2,predator,,,,,,,296
Coleoptera,Coccinellidae,Menochilus sexmaculatus F.,Menochilus sexmaculatus F.,0,0,1,0,1,predator,,,,,,,297
Coleoptera,Coccinellidae,Hippodamia convergens Guerin,Hippodamia convergens Guerin,4,0,0,0,4,predator,,,,,,,298
Coleoptera,Coccinellidae,Coccinella septempunctata L.,Coccinella septempunctata L.,0,1,0,0,1,predator,,,,,,,299
Coleoptera,Coccinellidae,Scymnus sp.,Scymnus sp.,0,1,0,0,1,predator,,,,,,,300
Coleoptera,Coccinellidae,"predators, mainly coccinellids",Coccinellidae sp.,0,1,1,0,2,predator,,,,,,,301
Diptera,Syrphidae,Syrphus balteatus DeGeer,Syrphus balteatus DeGeer,1,1,1,0,3,predator,,,,,,,302
Diptera,Syrphidae,Platycheirus spp.,Platycheirus spp.,0,3,0,0,3,predator,,,,,,,303
Diptera,Syrphidae,Melanostoma spp.,Melanostoma spp.,3,0,0,0,3,predator,,,,,,,304
Diptera,Dolichopodidae,Condylostylus sp.,Condylostylus sp.,1,0,1,0,2,predator,,,,,,,305
Diptera,Dolichopodidae,dolichopodid sp.,Dolichopodidae sp.,0,1,0,0,1,predator,,,,,,,306
Hymenoptera,Vespidae,vespid wasps,Vespidae sp.,3,0,0,0,3,predator,,,,,,,307
Hymenoptera,Formicidae,Lasius niger L.,Lasius niger L.,0,0,1,0,1,predator,,,,,,,308
Hymenoptera,Formicidae,Oecophylla smaragdina,Oecophylla smaragdina,1,0,0,0,1,predator,,,,,,,309
Hymenoptera,Formicidae,subnitita Emery,Subnitita sp. Emery,0,0,1,0,1,predator,,,,,,,310
Hymenoptera,Formicidae,Oecophylla longinoda Latreille,Oecophylla longinoda Latreille,5,0,0,0,5,predator,,,,,,,311
Hymenoptera,Formicidae,formicid spp.,Formicidae sp.,3,0,0,0,3,predator,,,,,,,312
Diptera,Tachinidae,Lixophaga sphenophori (Villeneuve),Lixophaga sphenophori (Villeneuve),2,0,0,0,2,parasite,,,,,,,315
Diptera,Tachinidae,Lydella grisescens R.-D.,Lydella grisescens R.-D.,1,0,0,0,1,parasite,,,,,,,316
Diptera,Tachinidae,Trichopoda pennipes F.,Trichopoda pennipes F.,1,0,0,0,1,parasite,,,,,,,317
Diptera,Tachinidae,Trichopoda lanipes F.,Trichopoda lanipes F.,1,0,0,0,1,parasite,,,,,,,318
Diptera,Tachinidae,Compsilura concinnata Meig.,Compsilura concinnata Meig.,1,0,0,0,1,parasite,,,,,,,319
Diptera,Sarcophagidae,Sarcophaga sternodontis Townsend,Sarcophaga sternodontis Townsend,1,0,0,0,1,parasite,,,,,,,320
Hymenoptera,Sphecidae,Larra americana Saussure,Larra americana Saussure,1,0,0,0,1,parasite,,,,,,,321
Hymenoptera,Scoliidae,Scolia dejani Lind,Scolia dejani Lind,1,0,0,0,1,parasite,,,,,,,322
Hymenoptera,Proctotrupoidea,no data,Proctotrupoidea sp.,5,1,2,4,12,parasite,,,,,,,323
Hymenoptera,Ichneumonidae,Diadegma sp.,Diadegma sp.,0,0,1,0,1,parasite,,,,,,,324
Hymenoptera,Braconidae,Orgilus obscurator (Nees),Orgilus obscurator (Nees),1,0,0,0,1,parasite,,,,,,,325
Hymenoptera,Braconidae,Lysiphlebus testaceipes (Cresson),Lysiphlebus testaceipes (Cresson),1,0,0,0,1,parasite,,,,,,,326
Hymenoptera,Braconidae,Ascogaster carpocapse (Vier),Ascogaster carpocapse (Vier),1,0,0,0,1,parasite,,,,,,,327
Hymenoptera,Braconidae,Diaeretiella rapae (McIntosh),Diaeretiella rapae (McIntosh),0,0,3,0,3,parasite,,,,,,,328
Hymenoptera,Braconidae,Ephedrus plagiator (Nees),Ephedrus plagiator (Nees),1,0,0,1,2,parasite,,,,,,,329
Hymenoptera,Braconidae,Macrocentrus ancylivorus Roh.,Macrocentrus ancylivorus Roh.,2,0,1,0,3,parasite,,,,,,,330
Hymenoptera,Braconidae,Apanteles medicaginis Mues.,Apanteles medicaginis Mues.,1,0,0,0,1,parasite,,,,,,,331
Hymenoptera,Braconidae,Apanteles glomeratus (L.),Apanteles glomeratus (L.),1,0,0,0,1,parasite,,,,,,,332
Hymenoptera,Braconidae,Meteorus sp.,Meteorus sp.,0,0,1,0,1,parasite,,,,,,,333
Hymenoptera,Aphelinidae,Aphytis lingnanensis Comp.,Aphytis lingnanensis Comp.,1,0,0,0,1,parasite,,,,,,,334
Hymenoptera,Aphelinidae,Aphelinus asychis (Walker),Aphelinus asychis (Walker),0,0,0,1,1,parasite,,,,,,,335
Hymenoptera,Aphelinidae,Aphelinus nigritus (Howard),Aphelinus nigritus (Howard),0,0,0,1,0,parasite,,,,,,,336
Hymenoptera,Aphelinidae,Aphytis proclia (Walker),Aphytis proclia (Walker),1,0,0,0,1,parasite,,,,,,,337
Hymenoptera,Tiphiidae,Tiphia popilliavora Roh.,Tiphia popilliavora Roh.,1,0,0,0,1,parasite,,,,,,,338
Hymenoptera,Tiphiidae,Tiphia vernalis Roh.,Tiphia vernalis Roh.,1,0,0,0,1,parasite,,,,,,,339
Hymenoptera,Tiphiidae,Tiphia sp.,Tiphia sp.,1,0,0,0,1,parasite,,,,,,,340
Hymenoptera,Eulophidae,Ceranisus menes,Ceranisus menes,0,0,0,1,1,parasite,,,,,,,341
Hymenoptera,Encyrtidae,Metaphycus helvorus (Comp.),Metaphycus helvorus (Comp.),1,0,0,0,1,parasite,,,,,,,342
Hymenoptera,Eurytomidae,Eurytoma tylodermatis Ashm.,Eurytoma tylodermatis Ashm.,1,0,0,0,1,parasite,,,,,,,343
Hymenoptera,Trichogrammatidae,Trichogramma confusum Viggiani,Trichogramma confusum Viggiani,0,0,1,0,1,parasite,,,,,,,344
Hymenoptera,Mymaridae,Anagrus epos Gir.,Anagrus epos Gir.,1,0,0,0,1,parasite,,,,,,,345
Hymenoptera,Mymaridae,Anagrus sp.,Anagrus sp.,1,0,1,0,2,parasite,,,,,,,346
